id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
9244444,14444,Fables,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431783524l/9244444._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431783524l/9244444._SX50_.jpg,1968,,,eng,Doubleday & Co.,false,868263,1208,183751,453231,111788,1943,5:42197|4:39392|3:25172|2:4135|1:892|total:111788,-560,,,4.05,7,1,"['12452', '14444', '963719']","['Aesop', 'Isaac Bashevis Singer', 'Murray Tinkelman']","['4.05', '4.05', '3.79']",['20264080'],['George Fyler Townsend'],['3.75'],
3323356,14444,Hunger,0380005565,9780380005567,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344907636l/3323356._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344907636l/3323356._SY75_.jpg,1975,12,1,eng,Avon,false,3135610,69,91010,164587,40638,2855,5:15614|4:15048|3:7150|2:2049|1:777|total:40638,1890,,,4.05,4,0,"['18317', '14444']","['Knut Hamsun', 'Isaac Bashevis Singer']","['4.00', '4.05']",['5424911'],['Robert Bly'],['4.04'],"One of the most important and controversial writers of the 20th century, Knut Hamsun made literary history with the publication in 1890 of this powerful, autobiographical novel recounting the abject poverty, hunger and despair of a young writer struggling to achieve self-discovery and its ultimate artistic expression. The book probes the psychodynamics of alienation and obsession, painting an unforgettable portrait of a man driven by forces beyond his control to the edge of self-destruction. Hamsun influenced many of the major 20th-century writers who followed him, including Kafka, Joyce and Henry Miller."
8421701,14444,Pan,,9789044512861,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349340107l/8421701._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349340107l/8421701._SY75_.jpg,2009,10,,nl,De Geus,false,132237,173,14650,29012,7439,425,5:2224|4:2914|3:1745|2:445|1:111|total:7439,1894,1,1,3.90,42,3,"['18317', '14444', '4659560']","['Knut Hamsun', 'Isaac Bashevis Singer', 'Kathleen Rutten']","['4.00', '4.05', '3.86']",['1927446'],['Rita Verschuur'],['3.79'],"Luitenant Glahn, ex-militair, jager en natuurmens, neemt zijn intrek in een hutje in het noorden van Noorwegen om daar de zomer door te brengen. Hij zwerft door de bossen en geniet op bijna extatische wijze van de natuur. Hij ontmoet de jonge, grillige Edvarda, dochter van de rijke koopman Mack, en wordt hopeloos verliefd op haar.<br />Aanvankelijk beantwoordt ze zijn gevoelens en ze beleven een kortstondige, heftige periode van geluk, waaraan een einde komt door onderlinge conflicten en door toedoen van twee rivalen, een wat oudere dokter en een Finse baron. Dat drijft Glahn tot waanzin. Glahn zoekt troost bij Eva, de vrouw van de smid, maar blijft verlangen naar Edvarda. Edvarda wordt een obsessie voor hem, waardoor hij zich steeds extremer gaat gedragen en zichzelf steeds onmogelijker maakt. Hij verliest alle grip op de werkelijkheid."
973196,14444,Dark Forces: New Stories of Suspense and Supernatural Horror,0670256536,9780670256532,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,958093,12,5409,11141,2732,73,5:1110|4:932|3:534|2:105|1:51|total:2732,1980,8,,4.08,2542,47,"['491426', '44806', '12531', '18253', '23012', '50252', '38313', '12540', '21578', '1630', '12476', '717781', '14444', '52005', '8726', '1088740', '27075', '3389', '70454', '36998', '88014', '3524', '1141781', '23069', '202192']","['Kirby McCauley', 'Dennis Etchison', 'Theodore Sturgeon', 'Ramsey Campbell', 'Clifford D. Simak', 'Russell Kirk', 'Lisa Tuttle', 'Robert Bloch', 'Edward Gorey', 'Ray Bradbury', 'Joe Haldeman', 'Charles L. Grant', 'Isaac Bashevis Singer', 'Manly Wade Wellman', 'Richard Matheson', 'Richard Christian Matheson', 'Gahan Wilson', 'Stephen King', 'Edward Bryant', 'Robert Aickman', 'Karl Edward Wagner', 'Joyce Carol Oates', 'T.E.D. Klein', 'Gene Wolfe', 'Davis Grubb']","['4.06', '3.88', '4.04', '3.98', '3.97', '4.11', '3.81', '4.10', '4.12', '4.01', '3.98', '3.76', '4.05', '4.00', '3.97', '3.91', '3.98', '4.04', '3.90', '3.98', '4.02', '3.69', '4.04', '3.97', '4.05']",[],[],[],Contents<br /><br />The Late Shift by Dennis Etchison<br />The Enemy by Isaac Bashevis Singer<br />Dark Angel by Edward Bryant<br />The Crest of Thirty-six by Davis Grubb<br />Mark Ingestre: The Customer’s Tale by Robert Aickman<br />Where the Summer Ends by Karl Edward Wagner<br />The Bingo Master by Joyce Carol Oates<br />Children of the Kingdom by T. E. D. Klein<br />The Detective of Dreams by Gene Wolfe<br />Vengeance Is. By Theodore Sturgeon<br />The Brood by Ramsey Campbell<br />The Whistling Well by Clifford D. Simak<br />The Peculiar Demesne by Russell Kirk<br />Where the Stones Grow by Lisa Tuttle<br />The Night Before Christmas by Robert Bloch<br />The Stupid Joke by Edward Gorey<br />A Touch of Petulance by Ray Bradbury<br />Lindsay and the Red City Blues by Joe Haldeman<br />A Garden of Blackred Roses by Charles L. Grant<br />Owls Hoot in the Daytime by Manly Wade Wellman<br />Where There’s a Will by Richard Matheson and Richard Christian Matheson<br />Traps by Gahan Wilson<br />The Mist by Stephen King
25743,14444,The Slave,0374506809,9780374506803,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1988,10,1,eng,"Farrar, Straus and Giroux",false,2562121,58,6035,10938,2612,231,5:1122|4:986|3:393|2:94|1:17|total:2612,1962,,,4.19,2084,151,['14444'],['Isaac Bashevis Singer'],['4.05'],['693051'],['Cecil Hemley'],['4.19'],
25739,14444,Enemies: A Love Story,0451166639,9780451166630,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1989,12,5,,Signet,false,299206,64,5900,9773,2473,249,5:725|4:1089|3:511|2:111|1:37|total:2473,1966,,,3.95,1732,129,['14444'],['Isaac Bashevis Singer'],['4.05'],[],[],[],"Almost before he knows it, Herman Broder, refugee and survivor of World War II, has three wives: Yadwiga, the Polish peasant who hid him from the Nazis; Masha , his beautiful and neurotic true love; and Tamara, his first wife, miraculously returned from the dead. Astonished by each new complication, and yet resigned to a life of evasion, Herman navigates a crowded, Yiddish New York with a sense of perpetually impending doom."
940167,14444,The Magician of Lublin,0140048073,9780140048070,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376680074l/940167._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376680074l/940167._SY75_.jpg,1979,,,eng,Penguin Books Ltd,false,2729994,71,5274,8888,2266,123,5:650|4:959|3:508|2:129|1:20|total:2266,1959,4,18,3.92,1638,70,['14444'],['Isaac Bashevis Singer'],['4.05'],[],[],[],"Yasha the magician - sword swallower, fire eater, acrobat and master of escape - is famed for his extraordinary Houdini-like skills. Half Jewish, half Gentile, a free thinker who slips easily between worlds, Yasha has an observant wife, a loyal assistant who travels with him and a woman in every town. Now though, his exploits are catching up with him, and he is tempted to make one final escape - from his marriage, his homeland and the last tendrils of his father's religion. Set in Warsaw and the shtetls of the 1870s, Isaac Bashevis Singer's second novel is a haunting psychological portrait of a man's flight from love."
131146,14444,The Best American Short Stories of the Century,0395843677,9780395843673,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,4,20,en-US,Mariner Books,false,75054,13,5762,8849,2139,166,5:875|4:805|3:356|2:83|1:20|total:2139,2000,4,20,4.14,1987,145,"['6878', '25096', '1455', '881203', '703276', '74572', '3535', '6895880', '3190', '6895881', '4095', '3736', '9657', '7973', '22234', '5152', '175078', '162626', '988142', '41588', '951139', '14012', '7751', '7464', '22694', '1894802', '463', '95659', '447', '3524', '209339', '110540', '32872', '14444', '24425', '10985', '31134', '2424', '4391', '43530', '7363', '6746', '7907', '6895882', '2330', '6895883', '154569', '45645', '273838']","['John Updike', 'Jean Toomer', 'Ernest Hemingway', 'Willa Cather', 'Grace Stone Coates', 'Katherine Anne Porter', 'William Faulkner', 'Dorother Parker', 'F. Scott Fitzgerald', 'Alexander Godin', 'William Saroyan', 'Robert Penn Warren', 'Richard Wright', 'Eudora Welty', 'Paul Horgan', 'Vladimir Nabokov', 'Jean Stafford', 'Martha Gellhorn', 'E.B. White', 'Elizabeth Bishop', 'J.F. Powers', 'Katrina Kenison', 'Tennessee Williams', 'John Cheever', ""Flannery O'Connor"", 'Lawrence Sargent Hall', 'Philip Roth', 'Stanley Elkin', 'Bernard Malamud', 'Joyce Carol Oates', 'Mary Ladd Gavell', 'James Alan McPherson', 'Gish Jen', 'Isaac Bashevis Singer', 'Donald Barthelme', 'Rosellen Brown', 'Alice Adams', 'Harold Brodkey', 'Saul Bellow', 'Cynthia Ozick', 'Raymond Carver', 'Ann Beattie', 'Susan Sontag', 'Benjamin Rosenblatt', ""Tim O'Brien"", 'Mary Lerner', 'Susan Glaspell', 'Sherwood Anderson', 'Ring Lardner']","['3.80', '3.94', '3.83', '3.83', '4.14', '3.93', '3.85', '4.14', '3.90', '4.14', '4.06', '4.08', '4.02', '3.87', '4.10', '3.89', '3.97', '3.99', '4.15', '4.20', '4.05', '3.88', '3.92', '3.97', '4.16', '4.14', '3.81', '3.90', '3.86', '3.69', '4.13', '4.08', '3.65', '4.05', '3.96', '3.85', '3.82', '3.99', '3.76', '3.73', '4.20', '3.63', '3.96', '4.14', '4.08', '4.13', '3.93', '3.84', '3.90']",[],[],[],"Since the series' inception in 1915, the annual volumes of The Best American Short Stories have launched literary careers, showcased the most compelling stories of each year, and confirmed for all time the significance of the short story in our national literature. Now THE BEST AMERICAN SHORT STORIES OF THE CENTURY brings together the best of the best - fifty-five extraordinary stories that represent a century's worth of unsurpassed accomplishments in this quintessentially American literary genre. Here are the stories that have endured the test of time: masterworks by such writers as Ernest Hemingway, William Faulkner, Willa Cather, F. Scott Fitzgerald, William Saroyan, Flannery O'Connor, John Cheever, Eudora Welty, Philip Roth, Joyce Carol Oates, Raymond Carver, Cynthia Ozick, and scores of others. These are the writers who have shaped and defined the landscape of the American short story, who have unflinchingly explored all aspects of the human condition, and whose works will continue to speak to us as we enter the next century. Their artistry is represented splendidly in these pages. THE BEST AMERICAN SHORT STORIES series has also always been known for making literary discoveries, and discovery proved to be an essential part of selecting the stories for this volume too. Collections from years past yielded a rich harvest of surprises, stories that may have been forgotten but still retain their relevance and luster. The result is a volume that not only gathers some of the most significant stories of our century between two covers but resurrects a handful of lost literary gems as well. Of all the great writers whose work has appeared in the series, only John Updike's contributions have spanned five consecutive decades, from his first appearance, in 1959. Updike worked with coeditor Katrina Kenison to choose stories from each decade that meet his own high standards of literary quality."
28948,14444,Gimpel the Fool and Other Stories,0374530254,9780374530259,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,1,10,eng,"Farrar, Straus and Giroux",false,2562120,41,3912,8336,2007,101,5:845|4:730|3:349|2:61|1:22|total:2007,1953,,,4.15,1731,63,"['14444', '16264']","['Isaac Bashevis Singer', 'Allegra Goodman']","['4.05', '3.51']",['4391'],['Saul Bellow'],['3.76'],
25737,14444,The Collected Stories of Isaac Bashevis Singer,0374517886,9780374517885,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1983,8,1,eng,"Farrar, Straus and Giroux",false,26458,28,4995,8030,1837,111,5:981|4:616|3:194|2:33|1:13|total:1837,1982,,,4.37,1681,92,"['14444', '3860746']","['Isaac Bashevis Singer', 'Herb Johnson']","['4.05', '4.39']",[],[],[],"The forty-seven stories in this collection, selected by Singer himself out of nearly one hundred and fifty, range from the publication of his now-classic first collection, <i>Gimpel the Fool,</i> in 1957, until 1981. They include supernatural tales, slices of life from Warsaw and the shtetls of Eastern Europe, and stories of the Jews displaced from that world to the New World, from the East Side of New York to California and Miami."
145307,14444,Shosha,0374524807,9780374524807,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438585829l/145307._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438585829l/145307._SX50_.jpg,1996,4,30,eng,"Farrar, Straus and Giroux",false,140211,61,3772,7341,1852,154,5:583|4:757|3:396|2:94|1:22|total:1852,1978,,,3.96,1485,91,['14444'],['Isaac Bashevis Singer'],['4.05'],[],[],[],"<i>Shosha </i>is a hauntingly lyrical love story set in Jewish Warsaw on the eve of its annihilation. Aaron Greidinger, an aspiring Yiddish writer and the son of a distinguished Hasidic rabbi, struggles to be true to his art when faced with the chance at riches and a passport to America. But as he and the rest of the Writers' Club wait in horror for Nazi Germany to invade Poland, Aaron rediscovers Shosha, his childhood love-still living on Krochmalna Street, still mysteriously childlike herself-who has been waiting for him all these years."
120240,14444,Masterpieces of Terror and the Supernatural,0385185499,9780385185493,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328578466l/120240._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328578466l/120240._SY75_.jpg,1985,6,1,eng,"Doubleday & Company, Inc.",false,2354173,5,3904,7190,1687,59,5:823|4:555|3:248|2:50|1:11|total:1687,1985,6,1,4.26,1663,55,"['3583', '3361829', '1437209', '11139', '50319', '101080', '8694', '35238', '26930', '589', '443218', '14444', '6988', '4624490', '67370', '8726', '364195', '2577844', '16667', '4030720', '1571733', '16022666', '41339', '12531', '57189', '161908', '24953', '941329', '6587839', '1240', '1438', '19879', '14403', '6076026', '410680', '5622', '7751', '13943', '4652063', '13638502', '6587842', '18791', '36998', '7799', '12540', '7622', '3243461', '285217', '854076', '30384', '698250', '656983']","['Marvin Kaye', 'Saralee Kaye,', 'Richard L. Wexelblat', 'Mary Wollstonecraft Shelley', 'Edward D. Hoch', 'Jack Snow', 'Tanith Lee', 'Lafcadio Hearn', 'J. Sheridan Le Fanu', 'Orson Scott Card', 'Gottfried August Bürger', 'Isaac Bashevis Singer', 'Bram Stoker', 'Edgar Allan Poe', 'Ray Russell', 'Richard Matheson', 'Ludwig Tieck', 'Maurice Level', 'Isaac Asimov', 'H.F. Arnold', 'Dick Baldwin', 'A. Merritt', 'Ogden Nash', 'Theodore Sturgeon', 'Dylan Thomas', 'Parke Godwin', 'Leonid Andreyev', 'A.M. Burrage', 'Pierre Courtois', 'Jack London', 'Walt Whitman', 'Stephen Crane', 'Ambrose Bierce', 'Saki', 'Ivan Turgenev', 'John Dickson Carr', 'Tennessee Williams', 'Damon Runyon', 'W.C. Morrow', 'Alfred Tennyson', 'Stanley Ellis', 'Guy de Maupassant', 'Robert Aickman', 'Nathaniel Hawthorne', 'Robert Bloch', 'Patricia Highsmith', ""Fitz-James O'Brien"", 'Johann Wolfgang von Goethe', 'Robert Louis Stevenson', 'Craig Shaw Gardner', 'M. Lucie Chin', 'J.R.R. Tolkien']","['3.93', '4.27', '4.26', '3.80', '4.20', '4.12', '3.89', '3.89', '3.83', '4.09', '4.03', '4.05', '3.98', '4.17', '3.96', '3.97', '3.89', '4.13', '4.16', '4.18', '4.22', '3.80', '4.18', '4.04', '4.16', '4.03', '4.04', '3.89', '4.26', '3.96', '4.13', '3.41', '3.95', '3.94', '3.92', '4.18', '3.92', '4.16', '4.10', '4.08', '4.27', '3.86', '3.98', '3.45', '4.10', '3.87', '4.00', '3.80', '3.85', '3.82', '4.19', '4.33']",[],[],[],"A gripping, chilling collection of 47 stories and six poems, dating back to Shelley and Stevenson, but also including modern masters."
718666,14444,The Family Moskat,0374530645,9780374530648,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316729282l/718666._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316729282l/718666._SX50_.jpg,2007,4,3,,"Farrar, Straus and Giroux",false,3232428,45,4056,5405,1292,101,5:543|4:508|3:190|2:37|1:14|total:1292,1950,,,4.18,983,47,"['14444', '5805243']","['Isaac Bashevis Singer', 'A.H. Gross']","['4.05', '4.22']",[],[],[],"The vanished way of life of Eastern European Jews in the early part of the twentieth century is the subject of this extraordinary novel. All the strata of this complex society were populated by powerfully individual personalities, and the whole community pulsated with life and vitality. The affairs of the patriarchal Meshulam Moskat and the unworldly Asa Heshel Bannet provide the center of the book, but its real focus is the civilization that was destroyed forever in the gas chambers of the Second World War."
177866,14444,American Gothic Tales,0452274893,9780452274891,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1996,12,1,eng,Plume,false,171823,3,4074,4556,1118,45,5:421|4:426|3:214|2:48|1:9|total:1118,1996,12,1,4.08,1115,45,"['3524', '46594', '28525', '7799', '1624', '4624490', '29527', '159', '14403', '16', '102922', '45645', '9494', '3535', '20598', '19927468', '13388', '7659', '14444', '123172', '7464', '1630', '18944512', '4379', '16086', '874602', '12584', '7415', '233', '146746', '7363', '7577', '6941', '12589', '3389', '6573388', '52074', '128466', '29805', '38313', '235167', '741116', '463665', '8125999', '76288', '8622', '15882']","['Joyce Carol Oates', 'Charles Brockden Brown', 'Washington Irving', 'Nathaniel Hawthorne', 'Herman Melville', 'Edgar Allan Poe', 'Charlotte Perkins Gilman', 'Henry James', 'Ambrose Bierce', 'Edith Wharton', 'Gertrude Atherton', 'Sherwood Anderson', 'H.P. Lovecraft', 'William Faulkner', 'August Derleth', 'E. B. White', 'Shirley Jackson', 'Paul Bowles', 'Isaac Bashevis Singer', 'William Goyen', 'John Cheever', 'Ray Bradbury', 'W. S. Merwin', 'Sylvia Plath', 'Robert Coover', 'Ursula K. Le Guin', 'E.L. Doctorow', 'Harlan Ellison', 'Don DeLillo', ""John L'Heureux"", 'Raymond Carver', 'Anne Rice', 'Peter Straub', 'Steven Millhauser', 'Stephen King', 'Charles Johnson', 'John Crowley', 'Thomas Ligotti', ""Breece D'J Pancake"", 'Lisa Tuttle', 'Melissa Pritchard', 'Nancy Etchemendy', 'Bruce McAllister', 'Kathe Koja', 'Barry N. Malzberg', 'Katherine Dunn', 'Nicholson Baker']","['3.69', '3.45', '3.86', '3.45', '3.54', '4.17', '4.02', '3.62', '3.95', '3.78', '3.85', '3.84', '4.05', '3.85', '4.20', '4.05', '3.95', '3.94', '4.05', '4.04', '3.97', '4.01', '4.07', '4.04', '3.80', '4.05', '3.79', '4.29', '3.69', '3.84', '4.20', '3.89', '4.02', '3.77', '4.04', '4.04', '3.83', '4.00', '4.13', '3.81', '3.92', '3.92', '3.80', '3.73', '3.89', '3.95', '3.63']",[],[],[],"Joyce Carol Oates has a special perspective on the “gothic” in American short fiction, at least partially because her own horror yarns rank on the spine-tingling chart with the masters. She is able to see the unbroken link of the macabre that ties Edgar Allan Poe to Anne Rice and to recognize the dark psychological bonds between Henry James and Stephen King. This remarkable anthology of gothic fiction, spanning two centuries of American writing, gives us an intriguing and entertaining look at how the gothic imagination makes for great literature in the works of forty-six exceptional writers. In showing us the gothic vision—a world askew where mankind’s forbidden impulses are set free from the repressions of the psyche, and nature turns malevolent and lawless—Joyce Carol Oates includes Henry James’s “The Romance of Certain Old Clothes,” Herman Melville’s horrific tale of factory women, “The Tartarus of Maids,” and Edith Wharton’s “Afterward,” which are rarely collected and appear together here for the first time.<br /><br />Added to these stories of the past are new ones that explore the wounded worlds of Stephen King, Anne Rice, Peter Straub, Raymond Carver, and more than twenty other wonderful contemporary writers. This impressive collection reveals the astonishing scope of the gothic writer’s subject matter, style, and incomparable genius for manipulating our emotions and penetrating our dreams. With Joyce Carol Oates’s superb introduction, <b>American Gothic Tales</b> is destined to become the standard one-volume edition of the genre that American writers, if they didn’t create it outright, have brought to its chilling zenith.<br /><br />rom Wieland, or The transformation / Charles Brockden Brown --<br />The legend of Sleepy Hollow / Washington Irving --<br />The man of adamant / Nathaniel Hawthorne --<br />Young Goodman Brown / Nathaniel Hawthorne --<br />The Tartarus of maids / Herman Melville --<br />The black cat / Edgar Allan Poe --<br />The yellow wallpaper / Charlotte Perkins Gilman --<br />The romance of certain old clothes / Henry James --<br />The damned thing / Ambrose Bierce --<br />Afterward / Edith Wharton --<br />The striding place / Gertrude Atherton --<br />Death in the woods / Sherwood Anderson --<br />The outsider / H.P. Lovecraft --<br />A rose for Emily / William Faulkner --<br />The lonesome place / August Derleth --<br />The door / E.B. White --<br />The lovely house / Shirley Jackson --<br />Allal / Paul Bowles --<br />The reencounter / Isaac Bashevis Singer --<br />In the icebound hothouse / William Goyen --<br />The enormous radio / John Cheever --<br />The veldt / Ray Bradbury --<br />The Dachau shoe / W.S. Merwin --<br />The approved / W.S. Merwin --<br />Spiders I have known / W.S. Merwin --<br />Postcards from the Maginot Line / W.S. Merwin --<br />Johnny Panic and the Bible of dreams / Sylvia Plath --<br />In bed one night / Robert Coover --<br />Schrödinger's cat / Ursula K. Le Guin --<br />The waterworks / E.L. Doctorow --<br />Shattered like a glass goblin / Harlan Ellison --<br />Human moments in World War III / Don DeLillo --<br />The anatomy of desire / John L'Heureux --<br />Little things / Raymond Carver --<br />The temple / Joyce Carol Oates --<br />Freniere (from Interview with the Vampires) / Anne Rice --<br />A short guide to the city / Peter Straub --<br />In the penny arcade / Steven Millhauser --<br />The reach / Stephen King --<br />Exchange value / Charles Johnson --<br />Snow / John Crowley --<br />The last feast of Harlequin / Thomas Ligotti --<br />Time and again / Breece D'J Pancake--<br />Replacements / Lisa Tuttle --<br />Spirit seizures / Melissa Pritchard --<br />Cat in glass / Nancy Etchemendy --<br />The girl who loved animals / Bruce McAllister --<br />Ursus Triad, later / Kathe Koja and Barry N. Malzberg --<br />(from Geek Love) The nuclear family: his talk, her teeth / Katherine Dunn --<br />Subsoil / Nicholson Baker"
27049,14444,Satan in Goray,0374524793,9780374524791,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1996,7,31,eng,"Farrar, Straus and Giroux",false,27703,45,2186,4219,1098,86,5:313|4:405|3:286|2:82|1:12|total:1098,1935,,,3.84,876,57,"['14444', '2129948']","['Isaac Bashevis Singer', 'Ruth R. Wisse']","['4.05', '3.85']",['474313'],['Jacob Sloan'],['3.91'],"As messianic zeal sweeps through medieval Poland, the Jews of Goray divide between those who, like the Rabbi, insist that no one can ""force the end"" and those who follow the messianic pretender Sabbatai Zevi. But as hysteria and depravity increase, it becomes clear that it is not the Messiah who has come to Goray."
224269,14444,In My Father's Court,0374505926,9780374505929,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,10,1,,"Farrar, Straus and Giroux",false,2562141,39,1788,3481,822,58,5:353|4:333|3:114|2:20|1:2|total:822,1956,,,4.23,725,49,['14444'],['Isaac Bashevis Singer'],['4.05'],[],[],[],"Like Isaac Bashevis Singer's fiction, this poignant memoir of his childhood in the household and rabbinical court of his father is full of spirits and demons, washerwomen and rabbis, beggars and rich men. This rememberance of Singer's pious father, his rational yet adoring mother, and the never-ending parade of humanity that marched through their home is a portrait of a magnificent writer's childhood self and of the world, now gone, that formed him."
224244,14444,Shadows on the Hudson,0452280036,9780452280038,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,1,1,,Plume,false,3207601,33,1800,2994,756,57,5:257|4:279|3:165|2:43|1:12|total:756,1957,,,3.96,603,42,['14444'],['Isaac Bashevis Singer'],['4.05'],['492608'],['Joseph Sherman'],['3.95'],"Serialized in the late 1950s, ""Shadows on the Hudson"" was translated from Yiddish and published posthumously as a complete novel in 1998, receiving widespread literary acclaim.From the Upper West Side to Miami's pastel resorts, Shadows on the Hudson traces the intertwined destiny of survivors in the aftermath of the Holocaust. Nobel Prize-winning author Isaac Bashevis Singer has created a vibrant, resonant, and provocative cast of characters in search of answers to life's greatest dilemmas, challenges, and ironies."
131147,14444,The Oxford Book of American Short Stories,0195092627,9780195092622,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,9,1,eng,"Oxford University Press, USA",false,1270467,8,2160,2807,675,54,5:282|4:258|3:101|2:28|1:6|total:675,1992,,,4.16,532,36,"['3524', '28525', '1240', '19879', '16', '881203', '1455', '3190', '15435', '74572', '36910', '22694', '7799', '10427', '1630', '7973', '14444', '447', '4391', '7464', '874602', '6878', '7363', '1624', '4624490', '26242', '1244', '5132', '29527', '159']","['Joyce Carol Oates', 'Washington Irving', 'Jack London', 'Stephen Crane', 'Edith Wharton', 'Willa Cather', 'Ernest Hemingway', 'F. Scott Fitzgerald', 'William Carlos Williams', 'Katherine Anne Porter', 'Langston Hughes', ""Flannery O'Connor"", 'Nathaniel Hawthorne', 'James Baldwin', 'Ray Bradbury', 'Eudora Welty', 'Isaac Bashevis Singer', 'Bernard Malamud', 'Saul Bellow', 'John Cheever', 'Ursula K. Le Guin', 'John Updike', 'Raymond Carver', 'Herman Melville', 'Edgar Allan Poe', 'Harriet Beecher Stowe', 'Mark Twain', 'Kate Chopin', 'Charlotte Perkins Gilman', 'Henry James']","['3.69', '3.86', '3.96', '3.41', '3.78', '3.83', '3.83', '3.90', '4.13', '3.93', '4.26', '4.16', '3.45', '4.26', '4.01', '3.87', '4.05', '3.86', '3.76', '3.97', '4.05', '3.80', '4.20', '3.54', '4.17', '3.87', '3.86', '3.71', '4.02', '3.62']",[],[],[],"This volume offers a survey of American short fiction in 59 tales that combine classic works with 'different, unexpected gems', which invite readers to explore a wealth of important pieces by women and minority writers. Authors include: Amy Tan, Alice Adams, David Leavitt and Tim O'Brien."
