id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
7198071,966415,Mirèio - Mireille: poème provençal avec la traduction littérale en regard,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1289690814l/7198071._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1289690814l/7198071._SX50_.jpg,1959,7,3,fre,Editions Brocéliande,false,7846854,89,245,167,49,5,5:7|4:15|3:19|2:7|1:1|total:49,1859,,,3.41,26,3,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.
691685,966415,Memoirs of Frederic Mistral,081120992X,9780811209922,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1986,12,1,,New Directions Publishing Corporation,false,2426414,18,129,81,22,3,5:8|4:4|3:6|2:3|1:1|total:22,1979,,,3.68,16,2,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],
13017351,966415,Racconti e leggende provenzali,8876412077,9788876412073,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336396863l/13017351._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336396863l/13017351._SY75_.jpg,1994,,,ita,Edizioni e/o,false,18179545,4,28,34,10,0,5:1|4:3|3:5|2:1|1:0|total:10,1900,,,3.40,6,0,['966415'],['Frédéric Mistral'],['3.54'],['4598734'],['Barbara Ferri'],['3.95'],
17314758,966415,Sången om Rhône,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375614577l/17314758._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375614577l/17314758._SY75_.jpg,1964,,,swe,Forum,false,23981715,5,23,31,8,0,5:3|4:3|3:0|2:2|1:0|total:8,1897,,,3.88,7,0,['966415'],['Frédéric Mistral'],['3.54'],['6452831'],['Ebbe Linde'],['3.57'],"En av de få stora företrädarna för en verklig episk poesi i klassisk stil är Frederi Mistral, som nobelprisbelönades 1904. Han är framför allt märklig därigenom att han genom vetenskaplig forskning och sin egen dikt gav nytt liv och modernt rättesnöre åt ett förr vittberömt men numera nästan slocknat litteraturspråk, provençalskan.<br />Högst karaktäristiskt för Mistrals diktning är Sången om Rhône. Här blandas alla de element som från början präglat diktarens verk: virilitet, romantik och patriotism, naturbetagenhet, katolsk fromhet och ett starkt intresse för folklig mystik. Sången om Rhône har nu genom Ebbe Lindes inspirerande tolkning fått sin första presentation på svenska."
33548112,966415,Vampires,,9782352850342,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482446317l/33548112._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482446317l/33548112._SX50_.jpg,2008,,,fre,Glyphe,false,54319186,1,5,13,3,0,5:2|4:0|3:1|2:0|1:0|total:3,2008,,,4.33,3,0,"['1046366', '116875', '1031911', '14929495', '935803', '4739032', '16222858', '481041', '16222859', '1993882', '1993881', '16222860', '5830751', '18791', '15935238', '3028172', '16222861', '4340739', '966415', '16222862', '5393862']","['Estelle Valls de Gomis', 'Jean Marigny', 'James Malcolm Rymer', 'Thomas Preskett Prest', 'Charlotte Bousquet', 'Meddy Ligner', 'Tonie Paul', 'Denis Labbé', 'Géraldine Blondel', 'Sire Cédric', 'Lucie Chenu', 'Nicolas F. Bally', 'Olivier Gay', 'Guy de Maupassant', 'Patrick Duclos', 'Sophie Dabat', 'Héloïse Jacob', 'Franck Ferric', 'Frédéric Mistral', 'Caroline Gaillard', 'Léonor Lara']","['3.95', '3.78', '3.74', '3.63', '3.69', '3.68', '4.33', '3.96', '4.33', '4.03', '3.53', '4.33', '3.88', '3.86', '4.00', '3.69', '4.33', '3.51', '3.54', '4.33', '4.00']",[],[],[],"Vampires, c’est l’alliance des Grands Anciens et des écrivains les plus modernes, de Guy de Maupassant à Sire Cédric et Denis Labbé, de Frédéric Mistral à Jean Marigny et Charlotte Bousquet. <br /><br />Vampires, c’est aussi le mythe le plus célèbre, redessiné dans ses facettes les plus originales, de la créature de chair à la créature de sang, du cristal au psychisme, de l’amour à la peur."
22725025,966415,Nobelpristagare: Dikter,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405374054l/22725025.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405374054l/22725025._SX50_.jpg,1966,,,swe,Svalans lyrikklubb/Bonniers,false,41915312,2,10,7,2,0,5:0|4:1|3:1|2:0|1:0|total:2,1964,1,1,3.50,1,0,"['8307097', '4420496', '3119996', '648081', '966415', '570804', '6989', '142051', '36913', '599498', '337113', '18317', '29963', '1545124', '140617', '1113469', '18540', '89330', '36635', '7902', '599188', '275175', '16853363']","['Sven Lindner', 'Anders Österling', 'Sully Prudhomme', 'Bjørnstjerne Bjørnson', 'Frédéric Mistral', 'Giosuè Carducci', 'Rudyard Kipling', 'Maurice Maeterlinck', 'Rabindranath Tagore', 'Verner von Heidenstam', 'Carl Spitteler', 'Knut Hamsun', 'W.B. Yeats', 'Johannes V. Jensen', 'Gabriela Mistral', 'Hermann Hesse', 'T.S. Eliot', 'Pär Lagerkvist', 'Juan Ramón Jiménez', 'Boris Pasternak', 'Salvatore Quasimodo', 'Saint-John Perse', 'George Seferis']","['3.67', '3.27', '3.32', '3.38', '3.54', '3.54', '3.93', '3.79', '4.13', '3.16', '3.42', '4.00', '4.16', '3.74', '4.00', '4.05', '4.16', '3.80', '3.82', '4.03', '4.09', '3.87', '4.27']","['5396262', '6578711', '1041592', '37086', '621106', '1073815', '5554612', '8386595', '1276808', '6361322', '8307135', '3068025', '6221898', '1701137', '4138077', '6452831', '4588769', '446692', '8386596', '4732315', '2984275', '7204991', '97178', '6362619', '4577631', '3153474', '8386597']","['Sten Selander', 'Emil Zilliacus', 'Karl Asplund', 'Karin Boye', 'Bo Bergman', 'Gunnar Ekelöf', 'Andrea Butenschön', 'Nils Svanberg', 'Erik Blomberg', 'Johannes Edfelt', 'Petter Bergman', 'Hjalmar Gullberg', 'Bertil Malmberg', 'Erik Mesterton', 'Arne Häggqvist', 'Ebbe Linde', 'Björn Julén', 'Tomas Tranströmer', 'Magda Lagerman', 'Nils Åke Nilsson', 'Ralf Parland', 'Leo Lindeberg', 'Östen Sjöstrand', 'Sture Axelson', 'Göran O. Eriksson', 'Erik Lindegren', 'Börje Knös']","['3.20', '3.48', '4.33', '3.79', '3.37', '3.94', '4.00', '4.00', '3.41', '3.52', '3.00', '3.56', '3.42', '4.05', '3.54', '3.57', '3.07', '4.08', '2.75', '3.71', '3.26', '3.62', '3.57', '3.64', '3.41', '3.65', '3.00']",
9392742,966415,"Calendau, Pouemo Nouveu: Traduction Francaise En Regard",1143907272,9781143907272,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,14276449,10,4,7,2,0,5:0|4:1|3:1|2:0|1:0|total:2,2010,2,16,3.50,2,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],
26354955,966415,Prose D'Almanach,2246798582,9782246798583,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1926,1,1,,Grasset,true,46358212,1,2,5,1,1,5:1|4:0|3:0|2:0|1:0|total:1,1926,1,1,5.00,1,1,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],"Gerbe de contes, recits, fabliaux, sornettes de ma mere l'oie, legendes, faceties, devis divers, en version bilingue."
18535231,966415,NOBEL PRIZE LIBRARY F MISTRAL 1904,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379956981l/18535231._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379956981l/18535231._SX50_.jpg,1971,,,eng,CRM,false,26257689,1,6,5,2,0,5:0|4:0|3:1|2:1|1:0|total:2,1971,1,1,2.50,2,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],MIREIO
32430981,966415,Memoires Et Recits: Traduction Du Provencal,1371031827,9781371031824,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479984333l/32430981._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479984333l/32430981._SY75_.jpg,2016,8,27,,Wentworth Press,false,53022394,3,1,5,1,0,5:1|4:0|3:0|2:0|1:0|total:1,,,,5.00,1,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.<br /><br />This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br /><br />As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
26678094,966415,Mireille: An Opera in Three Acts,1298541794,9781298541796,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444648828l/26678094._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444648828l/26678094._SY75_.jpg,2015,8,8,,Andesite Press,false,78923045,7,1,4,1,0,5:0|4:1|3:0|2:0|1:0|total:1,,,,4.00,1,0,"['966415', '63127']","['Frédéric Mistral', 'Charles Gounod']","['3.54', '3.94']",[],[],[],
16278269,966415,Nerto,3111122328,9783111122328,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381293316l/16278269._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381293316l/16278269._SY75_.jpg,2013,1,7,,Walter de Gruyter,false,22377752,2,3,3,1,0,5:0|4:0|3:1|2:0|1:0|total:1,1891,1,1,3.00,1,0,"['966415', '6643378']","['Frédéric Mistral', 'August Bertuch']","['3.54', '3.00']",[],[],[],
44484905,966415,"Oeuvres de Fr�d�ric Mistral ...: Texte Et Traduction, Volume 2...",0341600539,9780341600534,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553049897l/44484905._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553049897l/44484905._SX50_.jpg,2018,8,10,,Wentworth Press,false,69069193,2,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.<br /><br />This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br /><br />As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
44177180,966415,Les princes des Baux: Chant premier du cycle Calendal,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,68716848,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],['18879271'],['Alain Viau'],['0.0'],
29530232,966415,M�moires Et Souvenirs,1530411661,9781530411665,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2016,3,7,,Createspace Independent Publishing Platform,false,49828145,2,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],
28431842,966415,Mirella e altri poemi,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451752209l/28431842._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451752209l/28431842._SX50_.jpg,1964,,,ita,Fratelli Fabbri Editori,false,48544324,1,3,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['966415', '7105189']","['Frédéric Mistral', 'Francesco Di Pilla']","['3.54', '4.00']",['295468'],['Diego Valeri'],['3.78'],"Frédéric Mistral - Premio Nobel per la Letteratura 1904<br /><br />""La vita e l'opera di Frédéric Mistral"" di Francesco Di Pilla<br /><br />""Mirella"" (Miréio) - poema in versi<br />L'opera narra della bella Mireia, figlia di un ricco contadino provenzale, e del suo amore verso un cestaio di nome Vincent, osteggiato dai loro genitori. Il poema, che fonde elementi del mito di Giovanna d'Arco e della storia di Romeo e Giulietta, ma anche numerosi riferimenti alle tradizionali storie rurali provenzali, fu altamente lodato da Alphonse de Lamartine e premiato dall'Académie Française, rendendo Mistral un uomo di fama internazionale.<br /><br />da ""Le isole d'oro"" - poesie<br /><br />da ""Il poema del Rodano"" - poema in versi"
45878934,966415,Kindheit und Jugend in der Provence,,9783730600719,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2014,3,,ger,Anaconda,false,70702661,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],
53333060,966415,Mireille: poème provençal: Avec la traducton littérale en regard,0543966089,9780543966087,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,81837644,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],
44685692,966415,Le Po�me Du Rh�ne,0530964805,9780530964805,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2019,3,12,,Wentworth Press,false,69342803,2,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.<br /><br />This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br /><br />As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
45232440,966415,Sc�nes de la Vie Proven�ale,0469969830,9780469969834,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2019,2,26,,Wentworth Press,false,69955411,2,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.<br /><br />This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br /><br />As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
